INFO  - 2015-12-10 13:02:58.045; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70220 (1520171984400416768)]} 0 2
INFO  - 2015-12-10 13:02:58.087; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70221 (1520171984445505536)]} 0 1
INFO  - 2015-12-10 13:02:58.130; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70222 (1520171984490594304)]} 0 2
INFO  - 2015-12-10 13:02:58.174; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70223 (1520171984536731648)]} 0 1
INFO  - 2015-12-10 13:02:58.220; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70224 (1520171984584966144)]} 0 1
INFO  - 2015-12-10 13:02:58.333; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70225 (1520171984702406656)]} 0 2
INFO  - 2015-12-10 13:02:58.415; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70226 (1520171984788389888)]} 0 2
INFO  - 2015-12-10 13:02:58.527; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70228 (1520171984905830400)]} 0 3
INFO  - 2015-12-10 13:02:58.667; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70229 (1520171985051582464)]} 0 3
INFO  - 2015-12-10 13:02:58.784; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70230 (1520171985169022976)]} 0 8
INFO  - 2015-12-10 13:02:58.827; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70231 (1520171985221451776)]} 0 2
INFO  - 2015-12-10 13:02:58.864; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70233 (1520171985259200512)]} 0 2
INFO  - 2015-12-10 13:02:58.905; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70234 (1520171985301143552)]} 0 4
INFO  - 2015-12-10 13:02:58.960; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70235 (1520171985360912384)]} 0 2
INFO  - 2015-12-10 13:02:59.003; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70236 (1520171985407049728)]} 0 1
